#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Salinispora	arenicola	CNT799	NZ_AZVD01000004.1	42321	63572	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000004.1&start=42321&end=63572
Salinispora	arenicola	CNT799	NZ_AZVD01000004.1	108514	129681	amglyccycl	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000004.1&start=108514&end=129681
Salinispora	arenicola	CNT799	NZ_AZVD01000004.1	340470	364587	t1pks nrps-like hybrid	true	rifamycin	28	BGC0000137	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000004.1&start=340470&end=364587
Salinispora	arenicola	CNT799	NZ_AZVD01000011.1	0	66318	t1pks pks-like hybrid	true	calicheamicin	37	BGC0000033	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000011.1&start=0&end=66318
Salinispora	arenicola	CNT799	NZ_AZVD01000011.1	88218	186812	arylpolyene nrps t1pks hybrid	false	kedarcidin	24	BGC0000081	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000011.1&start=88218&end=186812
Salinispora	arenicola	CNT799	NZ_AZVD01000013.1	380	30171	ni-siderophore	false	FW0622	62	BGC0002690	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000013.1&start=380&end=30171
Salinispora	arenicola	CNT799	NZ_AZVD01000014.1	0	33533	t1pks	true	rifamycin	56	BGC0000137	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000014.1&start=0&end=33533
Salinispora	arenicola	CNT799	NZ_AZVD01000014.1	52346	73243	terpene	false	frankiamicin	14	BGC0001197	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000014.1&start=52346&end=73243
Salinispora	arenicola	CNT799	NZ_AZVD01000016.1	45244	68454	indole	false	staurosporine	76	BGC0000827	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000016.1&start=45244&end=68454
Salinispora	arenicola	CNT799	NZ_AZVD01000019.1	11326	69090	nrps	false	SW-163C/UK-63598/SW-163E/SW-163F/SW-163G	7	BGC0000434	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000019.1&start=11326&end=69090
Salinispora	arenicola	CNT799	NZ_AZVD01000020.1	110966	129253	terpene	true	isorenieratene	25	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000020.1&start=110966&end=129253
Salinispora	arenicola	CNT799	NZ_AZVD01000022.1	42648	115164	t2pks	false	pradimicin-A	25	BGC0000256	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000022.1&start=42648&end=115164
Salinispora	arenicola	CNT799	NZ_KI911344.1	6718	90429	t1pks nrps-like oligosaccharide pks-like hybrid	false	calicheamicin	40	BGC0000033	https://antismash-db.secondarymetabolites.org/area?record=NZ_KI911344.1&start=6718&end=90429
Salinispora	arenicola	CNT799	NZ_AZVD01000027.1	5459	58622	nrps	false	vazabitide A	4	BGC0001818	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000027.1&start=5459&end=58622
Salinispora	arenicola	CNT799	NZ_AZVD01000028.1	48003	71168	guanidinotides	false	ketomemicin B3/ketomemicin B4	83	BGC0001633	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000028.1&start=48003&end=71168
Salinispora	arenicola	CNT799	NZ_AZVD01000029.1	0	29235	nrps-like	true	stenothricin	31	BGC0000431	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000029.1&start=0&end=29235
Salinispora	arenicola	CNT799	NZ_AZVD01000031.1	7415	61654	other t1pks hybrid	false	amycomicin	25	BGC0001504	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000031.1&start=7415&end=61654
Salinispora	arenicola	CNT799	NZ_AZVD01000034.1	22142	33102	butyrolactone	false	salinipostin G	66	BGC0001458	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000034.1&start=22142&end=33102
Salinispora	arenicola	CNT799	NZ_AZVD01000035.1	25373	62256	t3pks	true	loseolamycin A1/loseolamycin A2	60	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000035.1&start=25373&end=62256
Salinispora	arenicola	CNT799	NZ_AZVD01000036.1	2670	25622	lanthipeptide-class-ii	false	hygromycin A	6	BGC0000699	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000036.1&start=2670&end=25622
Salinispora	arenicola	CNT799	NZ_AZVD01000042.1	0	30057	nrps-like	true	brasilinolide A/brasilinolide B/brasilinolide C	1	BGC0001381	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000042.1&start=0&end=30057
Salinispora	arenicola	CNT799	NZ_AZVD01000043.1	0	20337	lanthipeptide-class-i	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000043.1&start=0&end=20337
Salinispora	arenicola	CNT799	NZ_AZVD01000044.1	0	21802	t1pks	true	rifamycin	7	BGC0000136	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000044.1&start=0&end=21802
Salinispora	arenicola	CNT799	NZ_AZVD01000045.1	0	18901	t1pks	true	BE-14106	17	BGC0000029	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000045.1&start=0&end=18901
Salinispora	arenicola	CNT799	NZ_AZVD01000050.1	0	6380	nrps t1pks hybrid	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000050.1&start=0&end=6380
Salinispora	arenicola	CNT799	NZ_AZVD01000051.1	0	5865	t1pks	true	gargantulide B/gargantulide C	26	BGC0002142	https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000051.1&start=0&end=5865
Salinispora	arenicola	CNT799	NZ_AZVD01000053.1	0	4929	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000053.1&start=0&end=4929
Salinispora	arenicola	CNT799	NZ_AZVD01000055.1	0	3353	t1pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AZVD01000055.1&start=0&end=3353
Promicromonospora	Unknown	AC04	NZ_QBUG01000001.1	1244084	1280598	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_QBUG01000001.1&start=1244084&end=1280598
Promicromonospora	Unknown	AC04	NZ_QBUG01000004.1	148310	172434	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_QBUG01000004.1&start=148310&end=172434
Promicromonospora	Unknown	AC04	NZ_QBUG01000006.1	326012	356454	ni-siderophore	false	FW0622	37	BGC0002690	https://antismash-db.secondarymetabolites.org/area?record=NZ_QBUG01000006.1&start=326012&end=356454
Promicromonospora	Unknown	AC04	NZ_QBUG01000011.1	46759	88520	nrps-like	false	A54145	3	BGC0000291	https://antismash-db.secondarymetabolites.org/area?record=NZ_QBUG01000011.1&start=46759&end=88520
Promicromonospora	Unknown	AC04	NZ_QBUG01000012.1	77230	118346	t3pks	false	alkylresorcinol	100	BGC0000282	https://antismash-db.secondarymetabolites.org/area?record=NZ_QBUG01000012.1&start=77230&end=118346
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	155306	213188	nrps	false	tasikamide A/tasikamide B/tasikamide C	12	BGC0002661	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=155306&end=213188
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	1158184	1173054	naggn	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=1158184&end=1173054
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	1438819	1491265	t1pks	false	hexacosalactone A	6	BGC0002497	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=1438819&end=1491265
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	1591829	1621647	ni-siderophore	false	legonoxamine A/desferrioxamine B/legonoxamine B	66	BGC0002305	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=1591829&end=1621647
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	1823138	1844095	terpene	false	phosphonoglycans	3	BGC0000806	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=1823138&end=1844095
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	1918344	1939265	terpene	false	isorenieratene	25	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=1918344&end=1939265
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	2382664	2407876	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=2382664&end=2407876
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	2501573	2542299	2dos	false	gentamicin	44	BGC0000696	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=2501573&end=2542299
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	2703700	2744750	t3pks	false	loseolamycin A1/loseolamycin A2	88	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=2703700&end=2744750
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	3683127	3726757	nrps-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=3683127&end=3726757
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	3917046	3958123	t3pks	false	herbimycin A	10	BGC0000074	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=3917046&end=3958123
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	3970975	3992166	indole	false	pyrronazol B	13	BGC0001750	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=3970975&end=3992166
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	4329095	4349995	terpene	false	tetrachlorizine	13	BGC0002096	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=4329095&end=4349995
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	4515750	4539312	ripp-like terpene hybrid	false	frankiamicin	21	BGC0001197	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=4515750&end=4539312
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	4580436	4631653	nrps t1pks hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=4580436&end=4631653
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	4729322	4815787	nrps-like nrps hybrid	false	bonnevillamide D/bonnevillamide E	10	BGC0002373	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=4729322&end=4815787
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	5369729	5415357	t1pks	false	cyphomycin	8	BGC0001877	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=5369729&end=5415357
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	5450228	5746760	nrps-like nrps t1pks hybrid	false	quinolidomicin A	64	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=5450228&end=5746760
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	5764670	5785033	nucleoside	false	rabelomycin/dehydrorabelomycin/fluostatin F/fluostatin G/fluostatin H	4	BGC0000223	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=5764670&end=5785033
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	5895049	5925239	lanthipeptide-class-iii ripp-like hybrid	false	SapB	75	BGC0000551	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=5895049&end=5925239
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6001616	6055994	nrps	false	thiolutin	12	BGC0001193	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6001616&end=6055994
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6059503	6121987	t1pks hgle-ks ripp-like hybrid	false	hexacosalactone A	9	BGC0002497	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6059503&end=6121987
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6135474	6198884	nrp-metallophore nrps hybrid	false	frankobactin A1/frankobactin A2/frankobactin A3/frankobactin B1/frankobactin B2/frankobactin B3/frankobactin C1	66	BGC0002410	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6135474&end=6198884
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6383571	6478940	t2pks nrps hybrid	false	WS 79089B/benaphthamycin/WS 79089D/WS 79089A/WS 79089C	13	BGC0002732	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6383571&end=6478940
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6504232	6664363	lassopeptide nrps t1pks pks-like betalactone hybrid	false	canucin A/canucin B	57	BGC0002318	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6504232&end=6664363
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6742387	6794626	nrps t3pks hybrid	false	feglymycin	47	BGC0001233	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6742387&end=6794626
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	6800632	6913222	t1pks t3pks nrps nrps-like hybrid	false	myxothiazol	42	BGC0001024	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=6800632&end=6913222
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	7241847	7336633	nrps nrps-like t1pks hybrid	false	sibiromycin	80	BGC0000428	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=7241847&end=7336633
Micromonospora	Unknown	DSM 43816	NZ_LT607413.1	7654816	7729353	t1pks t2pks pks-like hybrid	false	TLN-05220	86	BGC0001062	https://antismash-db.secondarymetabolites.org/area?record=NZ_LT607413.1&start=7654816&end=7729353
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	1238459	1281438	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=1238459&end=1281438
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	1449556	1510835	nrps	false	telomycin	8	BGC0001406	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=1449556&end=1510835
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	1567294	1592582	thioamitides	false	trichrysobactin/cyclic trichrysobactin/chrysobactin/dichrysobactin	15	BGC0002414	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=1567294&end=1592582
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	1810188	1825058	naggn	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=1810188&end=1825058
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	2517072	2577491	terpene nrps-like hybrid	false	5-dimethylallylindole-3-acetonitrile	55	BGC0002128	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=2517072&end=2577491
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	2655701	2701470	t1pks	false	calicheamicin	24	BGC0000033	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=2655701&end=2701470
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	2720235	2763427	nrps	false	azicemicin B	13	BGC0000202	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=2720235&end=2763427
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	2923918	2949280	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=2923918&end=2949280
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	3305507	3326419	terpene	false	carotenoid	27	BGC0000633	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=3305507&end=3326419
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	3337260	3432601	nrps-like nrp-metallophore nrps hybrid	false	frankobactin A1/frankobactin A2/frankobactin A3/frankobactin B1/frankobactin B2/frankobactin B3/frankobactin C1	41	BGC0002410	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=3337260&end=3432601
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	3540306	3589616	thioamide-nrp	false	enteromycin	16	BGC0002499	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=3540306&end=3589616
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	3868205	3909255	t3pks	false	loseolamycin A1/loseolamycin A2	84	BGC0002362	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=3868205&end=3909255
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	4016628	4078600	nrps nrp-metallophore nrps-like hybrid	false	griseobactin	46	BGC0000368	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=4016628&end=4078600
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	4644017	4694639	t1pks nrps hybrid	false	collismycin A	62	BGC0000973	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=4644017&end=4694639
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	5314487	5335426	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=5314487&end=5335426
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	5468803	5490073	terpene ripp-like hybrid	false	lymphostin/neolymphostinol B/lymphostinol/neolymphostin b	30	BGC0001007	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=5468803&end=5490073
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	5785452	5858025	t2pks	false	frankiamicin	42	BGC0001197	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=5785452&end=5858025
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	5884465	5934683	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=5884465&end=5934683
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	6107082	6228628	nrps arylpolyene hr-t2pks hybrid	false	kedarcidin	16	BGC0000081	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=6107082&end=6228628
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	6255058	6276303	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=6255058&end=6276303
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	6379871	6409674	ni-siderophore	false	FW0622	62	BGC0002690	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=6379871&end=6409674
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	6533100	6546032	hydrogen-cyanide	false	aborycin	21	BGC0002285	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=6533100&end=6546032
Micromonospora	Unknown	LHW63014	NZ_CP061725.1	6573757	6625844	nrps t1pks hybrid	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP061725.1&start=6573757&end=6625844
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000004.1	89958	121355	betalactone	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000004.1&start=89958&end=121355
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000005.1	243736	266265	lassopeptide	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000005.1&start=243736&end=266265
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000008.1	6184	36602	ni-siderophore	false	FW0622	37	BGC0002690	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000008.1&start=6184&end=36602
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000008.1	47489	57912	ectoine	false	ectoine	100	BGC0000853	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000008.1&start=47489&end=57912
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000013.1	203261	216301	hydrogen-cyanide	false	aborycin	21	BGC0002285	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000013.1&start=203261&end=216301
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000015.1	115151	156246	t3pks	false	alkylresorcinol	100	BGC0000282	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000015.1&start=115151&end=156246
Promicromonospora	Unknown	DSM 26652	NZ_JAMTCS010000019.1	14698	35583	terpene	false	carotenoid	21	BGC0000636	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMTCS010000019.1&start=14698&end=35583
Cellulosimicrobium	Unknown	ORNL-0100	NZ_CP072387.1	1331156	1374510	t3pks ni-siderophore hybrid	false	alkylresorcinol	100	BGC0000282	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP072387.1&start=1331156&end=1374510
Cellulosimicrobium	Unknown	ORNL-0100	NZ_CP072387.1	2842770	2863685	terpene	false	7-deoxypactamycin	5	BGC0000119	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP072387.1&start=2842770&end=2863685
Cellulosimicrobium	Unknown	ORNL-0100	NZ_CP072387.1	3194274	3204565	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP072387.1&start=3194274&end=3204565
Cellulosimicrobium	Unknown	ORNL-0100	NZ_CP072387.1	3435936	3482149	thioamide-nrp	false	enteromycin	12	BGC0002499	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP072387.1&start=3435936&end=3482149
Cellulosimicrobium	Unknown	ORNL-0100	NZ_CP072387.1	3967133	3977430	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP072387.1&start=3967133&end=3977430
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	69650	90655	terpene	false	avermitilol	100	BGC0000683	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=69650&end=90655
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	410303	453174	nrps	false	rabelomycin/dehydrorabelomycin/fluostatin F/fluostatin G/fluostatin H	4	BGC0000223	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=410303&end=453174
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	611397	641802	lap thiopeptide hybrid	false	lactazole	22	BGC0000606	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=611397&end=641802
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	690133	717498	lanthipeptide-class-ii	false	epemicin B/epemicin A	7	BGC0002349	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=690133&end=717498
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	855024	957283	rre-containing nrps hybrid	false	BE-43547A1/BE-43547A2/BE-43547B1/BE-43547B2/BE-43547B3/BE-43547C1/BE-43547C2	18	BGC0001331	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=855024&end=957283
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	1053739	1141275	nrps-like t1pks pks-like nrps hybrid	false	tubulysin A/tubulysin B/tubulysin C/tubulysin D/tubulysin E/tubulysin F/tubulysin G/tubulysin H/tubulysin I	23	BGC0001344	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=1053739&end=1141275
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	1251602	1293534	resorcinol	false	LL-D49194α1 (LLD)	3	BGC0001979	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=1251602&end=1293534
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	1363315	1459921	nrps t1pks hybrid	false	kedarcidin	17	BGC0000081	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=1363315&end=1459921
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000001.1	1482804	1528785	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000001.1&start=1482804&end=1528785
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000010.1	12295	53378	t3pks	false	alkylresorcinol	100	BGC0000282	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000010.1&start=12295&end=53378
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000011.1	93784	119018	betalactone	false	tautomycetin	14	BGC0000158	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000011.1&start=93784&end=119018
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000014.1	149150	209609	nrps-like nrps t1pks hybrid	true	sporolide A/sporolide B	21	BGC0000150	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000014.1&start=149150&end=209609
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000015.1	181087	202035	terpene	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000015.1&start=181087&end=202035
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000002.1	8581	92263	nrp-metallophore nrps hybrid	false	peucechelin	50	BGC0002466	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000002.1&start=8581&end=92263
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000002.1	351134	397392	t1pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000002.1&start=351134&end=397392
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000021.1	41514	94885	nrps	false	paulomycin	3	BGC0001731	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000021.1&start=41514&end=94885
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000022.1	87164	127749	terpene other hybrid	false	isorenieratene	37	BGC0001456	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000022.1&start=87164&end=127749
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000023.1	32618	81495	nrps	true	skyllamycin A/skyllamycin B	4	BGC0000429	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000023.1&start=32618&end=81495
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000025.1	3268	14108	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000025.1&start=3268&end=14108
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000043.1	0	16618	napaa	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000043.1&start=0&end=16618
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000006.1	248075	320564	t2pks	false	dutomycin	22	BGC0001409	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000006.1&start=248075&end=320564
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000007.1	0	20684	terpene	true	geosmin	100	BGC0001181	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000007.1&start=0&end=20684
Catellatospora	Unknown	IMSNU 22006	NZ_JAAOTJ010000008.1	142598	173759	ni-siderophore	false	oryzanaphthopyran A/oryzanaphthopyran B/oryzanaphthopyran C/oryzanthrone A/oryzanthrone B/chlororyzanthrone A/chlororyzanthrone B	6	BGC0002656	https://antismash-db.secondarymetabolites.org/area?record=NZ_JAAOTJ010000008.1&start=142598&end=173759
Actinoplanes	Unknown	CGMCC 4.7090	NZ_QLMJ01000001.1	30916	77786	nrps	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_QLMJ01000001.1&start=30916&end=77786
Actinoplanes	Unknown	CGMCC 4.7090	NZ_QLMJ01000001.1	394482	415478	indole	false	fortimicin	13	BGC0000695	https://antismash-db.secondarymetabolites.org/area?record=NZ_QLMJ01000001.1&start=394482&end=415478
